timestamp,hour,month,hour_of_day,demand_gw,demand_mw
2023-01-01 00:00:00,0,1,0,18.79985273257668,18799.85273257668
2023-01-01 01:00:00,1,1,1,18.545861350903714,18545.861350903713
2023-01-01 02:00:00,2,1,2,18.860242486612464,18860.242486612464
2023-01-01 03:00:00,3,1,3,19.2103790139354,19210.3790139354
2023-01-01 04:00:00,4,1,4,18.507505721482854,18507.505721482856
2023-01-01 05:00:00,5,1,5,18.507512288592515,18507.512288592516
2023-01-01 06:00:00,6,1,6,20.232852197575145,20232.852197575146
2023-01-01 07:00:00,7,1,7,20.686964231880452,20686.96423188045
2023-01-01 08:00:00,8,1,8,20.931970403909663,20931.97040390966
2023-01-01 09:00:00,9,1,9,22.000405395312143,22000.405395312144
2023-01-01 10:00:00,10,1,10,22.152210182885305,22152.210182885305
2023-01-01 11:00:00,11,1,11,22.56826620760255,22568.26620760255
2023-01-01 12:00:00,12,1,12,23.110199672634987,23110.199672634986
2023-01-01 13:00:00,13,1,13,22.33585497350907,22335.854973509067
2023-01-01 14:00:00,14,1,14,22.32344763100336,22323.44763100336
2023-01-01 15:00:00,15,1,15,22.529643097334265,22529.643097334265
2023-01-01 16:00:00,16,1,16,21.932444811876522,21932.44481187652
2023-01-01 17:00:00,17,1,17,21.909080310915865,21909.080310915866
2023-01-01 18:00:00,18,1,18,20.75655052807516,20756.55052807516
2023-01-01 19:00:00,19,1,19,19.81506885968517,19815.06885968517
2023-01-01 20:00:00,20,1,20,20.18742657894081,20187.42657894081
2023-01-01 21:00:00,21,1,21,18.732033282330477,18732.033282330478
2023-01-01 22:00:00,22,1,22,18.109585266335905,18109.585266335904
2023-01-01 23:00:00,23,1,23,19.031267796886805,19031.267796886805
2023-01-02 00:00:00,24,1,0,18.299771360112487,18299.77136011249
2023-01-02 01:00:00,25,1,1,18.561893485806507,18561.893485806508
2023-01-02 02:00:00,26,1,2,18.05712701895364,18057.12701895364
2023-01-02 03:00:00,27,1,3,18.66780365726083,18667.80365726083
2023-01-02 04:00:00,28,1,4,18.27726897395504,18277.268973955037
2023-01-02 05:00:00,29,1,5,18.40084695000525,18400.84695000525
2023-01-02 06:00:00,30,1,6,19.276841805030802,19276.841805030803
2023-01-02 07:00:00,31,1,7,21.03725899257324,21037.25899257324
2023-01-02 08:00:00,32,1,8,21.030718646938844,21030.718646938843
2023-01-02 09:00:00,33,1,9,21.27665438484577,21276.65438484577
2023-01-02 10:00:00,34,1,10,22.582952603401942,22582.952603401944
2023-01-02 11:00:00,35,1,11,22.18257802759262,22182.57802759262
2023-01-02 12:00:00,36,1,12,23.013317580560848,23013.317580560848
2023-01-02 13:00:00,37,1,13,22.233656400370652,22233.65640037065
2023-01-02 14:00:00,38,1,14,22.398497722999572,22398.49772299957
2023-01-02 15:00:00,39,1,15,22.749659981928676,22749.659981928675
2023-01-02 16:00:00,40,1,16,22.549321270558828,22549.321270558827
2023-01-02 17:00:00,41,1,17,21.768286068904118,21768.28606890412
2023-01-02 18:00:00,42,1,18,20.98985822387872,20989.85822387872
2023-01-02 19:00:00,43,1,19,20.175906240533944,20175.906240533943
2023-01-02 20:00:00,44,1,20,18.92611565377559,18926.11565377559
2023-01-02 21:00:00,45,1,21,18.45076349771758,18450.76349771758
2023-01-02 22:00:00,46,1,22,17.814675854627193,17814.675854627192
2023-01-02 23:00:00,47,1,23,19.940373340410126,19940.373340410126
2023-01-03 00:00:00,48,1,0,17.073397280668527,17073.397280668527
2023-01-03 01:00:00,49,1,1,16.23073390269605,16230.733902696049
2023-01-03 02:00:00,50,1,2,17.065583552599062,17065.583552599062
2023-01-03 03:00:00,51,1,3,16.781917052674615,16781.917052674617
2023-01-03 04:00:00,52,1,4,16.66518116471876,16665.18116471876
2023-01-03 05:00:00,53,1,5,17.180620480377492,17180.620480377493
2023-01-03 06:00:00,54,1,6,18.348349773839523,18348.349773839524
2023-01-03 07:00:00,55,1,7,19.087285281334726,19087.285281334727
2023-01-03 08:00:00,56,1,8,19.11885604246354,19118.85604246354
2023-01-03 09:00:00,57,1,9,19.994479321006224,19994.479321006223
2023-01-03 10:00:00,58,1,10,20.804865526040672,20804.86552604067
2023-01-03 11:00:00,59,1,11,21.479559053348552,21479.559053348552
2023-01-03 12:00:00,60,1,12,21.15652796233941,21156.52796233941
2023-01-03 13:00:00,61,1,13,21.361686374175616,21361.686374175617
2023-01-03 14:00:00,62,1,14,20.905663667875118,20905.663667875117
2023-01-03 15:00:00,63,1,15,20.61085835286734,20610.85835286734
2023-01-03 16:00:00,64,1,16,20.997370482436924,20997.370482436923
2023-01-03 17:00:00,65,1,17,20.66066028277504,20660.66028277504
2023-01-03 18:00:00,66,1,18,19.425739003120466,19425.739003120467
2023-01-03 19:00:00,67,1,19,19.11618639284505,19116.18639284505
2023-01-03 20:00:00,68,1,20,18.080604374860197,18080.6043748602
2023-01-03 21:00:00,69,1,21,16.899078794151993,16899.078794151992
2023-01-03 22:00:00,70,1,22,16.561915120133058,16561.915120133057
2023-01-03 23:00:00,71,1,23,18.55116459142753,18551.16459142753
2023-01-04 00:00:00,72,1,0,16.842135003335677,16842.135003335676
2023-01-04 01:00:00,73,1,1,17.482322881305258,17482.32288130526
2023-01-04 02:00:00,74,1,2,15.808567377343758,15808.567377343757
2023-01-04 03:00:00,75,1,3,17.185226420729744,17185.226420729745
2023-01-04 04:00:00,76,1,4,16.891284246274925,16891.284246274925
2023-01-04 05:00:00,77,1,5,16.73686247879331,16736.862478793308
2023-01-04 06:00:00,78,1,6,17.893169729593858,17893.169729593857
2023-01-04 07:00:00,79,1,7,17.8402611219864,17840.2611219864
2023-01-04 08:00:00,80,1,8,19.287189750756106,19287.189750756104
2023-01-04 09:00:00,81,1,9,20.181524754089924,20181.524754089925
2023-01-04 10:00:00,82,1,10,21.184033225514366,21184.033225514366
2023-01-04 11:00:00,83,1,11,20.80254836932866,20802.548369328662
2023-01-04 12:00:00,84,1,12,20.94531567045876,20945.31567045876
2023-01-04 13:00:00,85,1,13,21.15576260154584,21155.76260154584
2023-01-04 14:00:00,86,1,14,21.63487395869687,21634.87395869687
2023-01-04 15:00:00,87,1,15,21.141356900501997,21141.356900501996
2023-01-04 16:00:00,88,1,16,20.380971526110944,20380.971526110945
2023-01-04 17:00:00,89,1,17,20.243986698730566,20243.986698730565
2023-01-04 18:00:00,90,1,18,19.413889525630328,19413.88952563033
